2.520000000000000018e-02 1.650000000000000133e+00
2.809800000000000075e+00 7.458000000000001295e-01
2.471700000000000230e+00 1.023000000000000131e+00
3.005100000000000104e+00 4.961000000000000409e-01
2.587200000000000166e+00 9.416000000000001036e-01
1.463700000000000001e+00 1.460800000000000098e+00
3.147900000000000365e+00 6.380000000000000948e-02
2.946300000000000363e+00 5.852000000000000535e-01
2.463300000000000267e+00 1.028500000000000192e+00
1.165500000000000203e+00 1.532300000000000217e+00
